date,count
"2017-05-01 00:02:08","2"
"2017-05-01 07:54:42","1"
"2017-05-01 23:25:49","2"
"2017-05-02 00:59:12","2"
"2017-05-02 03:52:59","2"
"2017-05-02 08:37:25","1"
"2017-05-02 11:17:29","3"
"2017-05-02 12:42:56","31"
"2017-05-02 16:01:39","8"
"2017-05-02 18:29:08","19"
"2017-05-02 21:51:47","6"
"2017-05-03 00:02:10","2"
"2017-05-03 10:19:56","13"
"2017-05-03 12:56:18","1"
"2017-05-03 16:39:48","3"
"2017-05-03 19:39:46","1"
"2017-05-04 02:37:10","1"
"2017-05-04 03:21:59","1"
"2017-05-04 08:56:14","9"
"2017-05-04 09:10:42","16"
"2017-05-04 12:08:42","13"
"2017-05-04 15:10:43","1"
"2017-05-04 19:15:33","6"
"2017-05-04 22:33:43","3"
"2017-05-05 00:00:55","7"
"2017-05-05 07:59:23","4"
"2017-05-05 16:15:49","4"
"2017-05-05 20:32:02","1"
"2017-05-06 00:02:10","1"
"2017-05-06 07:00:15","6"
"2017-05-06 09:08:58","19"
"2017-05-06 12:13:47","18"
"2017-05-06 15:03:58","1"
"2017-05-06 21:54:47","7"
"2017-05-07 02:35:52","3"
"2017-05-07 08:26:49","2"
"2017-05-07 12:02:08","41"
"2017-05-07 16:17:06","1"
"2017-05-07 18:15:41","6"
"2017-05-08 00:02:08","2"
"2017-05-08 03:20:15","1"
"2017-05-08 07:59:20","4"
"2017-05-08 09:36:10","15"
"2017-05-08 12:03:28","12"
"2017-05-08 15:23:51","7"
"2017-05-08 18:29:26","7"
"2017-05-08 21:20:11","1"
"2017-05-09 00:02:08","3"
"2017-05-09 04:36:44","2"
"2017-05-09 07:44:26","1"
"2017-05-09 10:22:43","17"
"2017-05-09 12:58:40","5"
"2017-05-09 17:02:19","6"
"2017-05-10 00:02:15","2"
"2017-05-10 08:14:19","5"
"2017-05-10 09:59:17","7"
"2017-05-10 12:44:27","10"
"2017-05-10 15:28:18","8"
"2017-05-10 18:28:48","6"
"2017-05-10 21:54:08","3"
"2017-05-11 05:32:20","3"
"2017-05-11 07:54:02","1"
"2017-05-11 10:44:24","8"
"2017-05-11 18:44:32","7"
"2017-05-11 21:26:47","3"
"2017-05-12 00:02:08","1"
"2017-05-12 06:05:21","1"
"2017-05-12 10:34:17","2"
"2017-05-13 04:14:14","43"
"2017-05-13 07:59:17","2"
"2017-05-13 10:44:13","1"
"2017-05-13 18:53:59","1"
"2017-05-14 11:14:55","3"
"2017-05-14 12:10:05","20"
"2017-05-14 15:49:04","7"
"2017-05-14 18:57:30","3"
"2017-05-14 22:10:28","3"
"2017-05-15 00:02:11","1"
"2017-05-15 05:55:19","2"
"2017-05-15 07:59:12","3"
"2017-05-15 09:13:27","5"
"2017-05-15 12:15:21","3"
"2017-05-15 15:17:07","7"
"2017-05-15 20:32:39","3"
"2017-05-16 00:02:24","2"
"2017-05-16 07:03:17","4"
"2017-05-16 11:10:12","7"
"2017-05-16 12:14:23","7"
"2017-05-16 17:36:29","3"
"2017-05-16 20:27:12","2"
"2017-05-16 21:32:29","19"
"2017-05-17 04:32:31","3"
"2017-05-17 07:10:09","3"
"2017-05-17 09:35:43","12"
"2017-05-17 14:14:53","7"
"2017-05-17 16:00:07","5"
"2017-05-17 18:04:23","7"
"2017-05-18 00:02:52","2"
"2017-05-18 09:13:39","26"
"2017-05-18 12:03:38","17"
"2017-05-18 16:13:07","10"
"2017-05-18 18:18:42","3"
"2017-05-19 00:02:32","2"
"2017-05-19 06:35:20","6"
"2017-05-19 10:19:15","1"
"2017-05-19 16:24:04","1"
"2017-05-20 00:02:09","1"
"2017-05-20 07:59:09","4"
"2017-05-20 11:14:32","3"
"2017-05-20 16:43:54","1"
"2017-05-21 00:02:14","3"
"2017-05-21 08:42:53","2"
"2017-05-21 11:10:17","20"
"2017-05-21 12:14:18","11"
"2017-05-21 15:07:43","8"
"2017-05-21 18:21:13","13"
"2017-05-22 00:02:25","3"
"2017-05-22 06:46:43","7"
"2017-05-22 12:02:51","13"
"2017-05-22 15:05:31","4"
"2017-05-22 18:20:05","12"
"2017-05-23 05:43:08","1"
"2017-05-23 08:00:07","4"
"2017-05-23 10:30:12","2"
"2017-05-23 13:04:55","4"
"2017-05-23 15:00:09","12"
"2017-05-23 18:08:04","8"
"2017-05-24 00:02:09","6"
"2017-05-24 08:00:00","5"
"2017-05-24 10:30:09","11"
"2017-05-24 13:00:09","7"
"2017-05-24 17:37:17","6"
"2017-05-24 18:51:55","3"
"2017-05-24 23:58:43","1"
"2017-05-25 00:02:13","1"
"2017-05-25 06:29:59","13"
"2017-05-25 09:15:01","12"
"2017-05-25 12:15:00","15"
"2017-05-25 15:15:02","12"
"2017-05-25 18:00:00","14"
"2017-05-25 21:00:00","13"
"2017-05-26 00:00:00","13"
"2017-05-26 03:14:59","13"
"2017-05-26 06:15:01","12"
"2017-05-26 09:14:59","12"
"2017-05-26 12:14:59","11"
"2017-05-26 15:00:00","16"
"2017-05-26 18:15:00","14"
"2017-05-26 21:15:00","12"
"2017-05-27 00:00:00","13"
"2017-05-27 03:14:59","12"
"2017-05-27 06:00:06","16"
"2017-05-27 10:58:20","2"
"2017-05-29 19:35:49","1"
"2017-05-30 11:10:24","2"
"2017-05-31 00:01:57","1"
"2017-05-31 11:44:59","3"
"2017-05-31 12:00:03","10"
"2017-05-31 15:00:08","12"
"2017-05-31 18:00:08","13"
"2017-05-31 21:07:21","12"
