date,count
"2017-10-01 00:02:11","3"
"2017-10-01 07:56:32","3"
"2017-10-01 09:13:50","3"
"2017-10-01 12:06:30","12"
"2017-10-01 15:13:46","20"
"2017-10-01 18:51:02","3"
"2017-10-02 00:01:57","2"
"2017-10-02 08:37:37","5"
"2017-10-02 13:11:31","9"
"2017-10-02 18:36:55","11"
"2017-10-02 22:07:21","3"
"2017-10-03 00:02:15","3"
"2017-10-03 08:51:34","1"
"2017-10-03 09:00:45","1"
"2017-10-03 12:09:34","12"
"2017-10-03 16:38:42","1"
"2017-10-03 18:06:12","11"
"2017-10-04 04:32:40","1"
"2017-10-04 09:59:53","4"
"2017-10-04 13:19:41","1"
"2017-10-04 16:18:11","7"
"2017-10-04 18:01:34","2"
"2017-10-04 21:11:16","1"
"2017-10-05 06:45:44","10"
"2017-10-05 09:14:44","2"
"2017-10-05 12:36:26","6"
"2017-10-05 15:49:54","2"
"2017-10-05 19:35:58","1"
"2017-10-05 22:22:40","4"
"2017-10-06 00:02:07","4"
"2017-10-06 18:09:47","1"
"2017-10-07 05:42:50","3"
"2017-10-07 06:01:50","2"
"2017-10-07 09:45:09","1"
"2017-10-07 14:28:56","3"
"2017-10-07 17:35:36","1"
"2017-10-08 08:24:07","9"
"2017-10-08 16:11:36","13"
"2017-10-08 18:04:11","1"
"2017-10-09 02:15:14","2"
"2017-10-09 07:01:13","4"
"2017-10-09 10:17:12","3"
"2017-10-09 12:38:00","24"
"2017-10-09 15:12:47","6"
"2017-10-09 18:23:15","7"
"2017-10-09 21:00:15","3"
"2017-10-10 01:40:07","1"
"2017-10-10 06:25:52","3"
"2017-10-10 09:19:24","9"
"2017-10-10 13:10:36","10"
"2017-10-10 15:08:02","9"
"2017-10-10 18:50:57","11"
"2017-10-10 21:08:44","9"
"2017-10-11 00:02:01","2"
"2017-10-11 06:45:38","2"
"2017-10-11 09:50:37","9"
"2017-10-11 15:09:27","13"
"2017-10-11 18:15:04","13"
"2017-10-11 23:57:35","1"
"2017-10-12 00:13:28","6"
"2017-10-12 06:40:52","4"
"2017-10-12 09:15:15","13"
"2017-10-12 14:49:29","1"
"2017-10-12 15:05:51","7"
"2017-10-12 18:24:34","3"
"2017-10-12 21:08:33","5"
"2017-10-13 00:02:05","1"
"2017-10-13 06:50:04","5"
"2017-10-13 12:46:18","1"
"2017-10-13 19:05:09","5"
"2017-10-14 00:02:03","3"
"2017-10-14 13:15:44","3"
"2017-10-14 15:51:48","3"
"2017-10-14 20:26:45","3"
"2017-10-14 22:02:28","4"
"2017-10-15 00:02:04","2"
"2017-10-15 09:47:21","10"
"2017-10-15 15:11:45","5"
"2017-10-15 18:27:28","9"
"2017-10-15 21:55:14","3"
"2017-10-16 09:39:43","12"
"2017-10-16 13:01:38","32"
"2017-10-16 15:15:52","4"
"2017-10-16 18:07:01","7"
"2017-10-16 21:52:44","4"
"2017-10-17 02:06:26","1"
"2017-10-17 05:57:37","1"
"2017-10-17 06:07:00","3"
"2017-10-17 10:07:13","1"
"2017-10-17 12:49:47","14"
"2017-10-17 15:19:11","2"
"2017-10-17 19:26:51","4"
"2017-10-17 22:12:14","2"
"2017-10-18 00:02:03","3"
"2017-10-18 04:26:16","2"
"2017-10-18 07:27:01","1"
"2017-10-18 10:26:48","8"
"2017-10-18 12:40:54","34"
"2017-10-18 16:27:09","1"
"2017-10-18 18:09:41","34"
"2017-10-18 21:37:55","4"
"2017-10-19 00:26:55","2"
"2017-10-19 04:26:58","1"
"2017-10-19 06:27:05","2"
"2017-10-19 09:03:01","22"
"2017-10-19 12:06:16","18"
"2017-10-19 15:00:04","7"
"2017-10-19 18:26:13","6"
"2017-10-19 21:20:40","2"
"2017-10-20 00:02:03","3"
"2017-10-20 04:27:08","2"
"2017-10-20 06:26:29","3"
"2017-10-20 10:20:10","4"
"2017-10-20 12:27:12","3"
"2017-10-20 15:14:31","3"
"2017-10-20 18:27:07","13"
