date,count
"2017-03-01 00:01:54","3"
"2017-03-01 07:12:50","7"
"2017-03-01 09:22:07","14"
"2017-03-01 13:03:35","5"
"2017-03-01 15:06:33","3"
"2017-03-01 18:00:07","11"
"2017-03-01 23:02:49","2"
"2017-03-02 00:02:32","8"
"2017-03-02 03:22:45","5"
"2017-03-02 07:23:18","3"
"2017-03-02 09:45:01","5"
"2017-03-02 12:13:55","8"
"2017-03-02 15:03:40","5"
"2017-03-02 19:23:49","1"
"2017-03-02 21:54:54","1"
"2017-03-03 00:02:08","4"
"2017-03-03 03:16:46","4"
"2017-03-03 06:37:27","2"
"2017-03-03 12:05:10","8"
"2017-03-03 15:44:49","3"
"2017-03-03 18:04:48","4"
"2017-03-04 00:02:10","3"
"2017-03-04 03:37:04","6"
"2017-03-04 06:54:36","3"
"2017-03-04 10:49:41","6"
"2017-03-04 12:02:15","3"
"2017-03-04 17:04:18","2"
"2017-03-04 19:13:35","2"
"2017-03-04 23:47:32","2"
"2017-03-05 00:01:19","3"
"2017-03-05 06:02:43","4"
"2017-03-05 10:27:28","2"
"2017-03-05 12:59:56","5"
"2017-03-05 15:15:40","8"
"2017-03-05 19:05:41","1"
"2017-03-06 00:01:22","4"
"2017-03-06 05:16:13","2"
"2017-03-06 08:36:10","2"
"2017-03-06 09:07:01","8"
"2017-03-06 12:00:05","12"
"2017-03-06 15:35:53","4"
"2017-03-06 18:35:50","5"
"2017-03-06 22:42:52","1"
"2017-03-07 00:01:24","4"
"2017-03-07 04:21:45","4"
"2017-03-07 07:17:31","14"
"2017-03-07 09:00:07","8"
"2017-03-07 12:00:07","4"
"2017-03-07 18:36:08","2"
"2017-03-07 23:45:20","1"
"2017-03-08 00:00:11","6"
"2017-03-08 05:15:17","2"
"2017-03-08 06:27:30","2"
"2017-03-08 09:20:46","5"
"2017-03-08 12:15:45","9"
"2017-03-08 15:43:02","3"
"2017-03-08 19:33:19","3"
"2017-03-08 22:14:25","6"
"2017-03-09 00:02:16","2"
"2017-03-09 05:22:41","2"
"2017-03-09 06:14:21","2"
"2017-03-09 10:44:58","3"
"2017-03-09 12:15:10","4"
"2017-03-09 16:16:00","4"
"2017-03-09 19:00:09","3"
"2017-03-09 23:30:46","1"
"2017-03-10 00:01:22","3"
"2017-03-10 07:48:05","5"
"2017-03-10 09:31:55","1"
"2017-03-10 13:40:31","2"
"2017-03-10 16:21:16","4"
"2017-03-10 18:31:36","2"
"2017-03-11 00:01:20","3"
"2017-03-11 06:03:23","10"
"2017-03-11 09:02:54","2"
"2017-03-11 12:08:51","9"
"2017-03-11 15:29:18","5"
"2017-03-11 19:57:18","1"
"2017-03-11 21:42:34","1"
"2017-03-12 00:02:12","2"
"2017-03-12 05:53:20","2"
"2017-03-12 06:12:12","4"
"2017-03-12 09:46:26","4"
"2017-03-12 12:29:58","1"
"2017-03-12 15:30:00","16"
"2017-03-12 18:12:49","10"
"2017-03-13 00:01:18","3"
"2017-03-13 03:30:45","1"
"2017-03-13 06:28:53","1"
"2017-03-13 11:18:56","12"
"2017-03-13 12:19:01","13"
"2017-03-13 15:11:15","5"
"2017-03-13 18:25:27","13"
"2017-03-13 21:46:19","3"
"2017-03-14 00:01:19","3"
"2017-03-14 08:00:00","3"
"2017-03-14 09:45:01","10"
"2017-03-14 12:30:44","39"
"2017-03-14 15:00:07","11"
"2017-03-14 18:32:41","8"
"2017-03-15 00:01:27","1"
"2017-03-15 04:13:53","1"
"2017-03-15 10:27:37","12"
"2017-03-15 12:40:56","1"
"2017-03-15 15:42:41","14"
"2017-03-15 18:12:41","13"
"2017-03-16 00:01:22","1"
"2017-03-16 06:13:20","13"
"2017-03-16 10:09:06","8"
"2017-03-16 13:53:02","4"
"2017-03-16 15:00:04","7"
"2017-03-16 18:55:12","5"
"2017-03-17 00:01:24","3"
"2017-03-17 08:00:02","2"
"2017-03-17 13:28:25","5"
"2017-03-17 15:03:20","4"
"2017-03-17 19:08:45","1"
"2017-03-18 00:01:37","1"
"2017-03-18 03:00:45","2"
"2017-03-18 07:44:56","2"
"2017-03-18 11:00:09","2"
"2017-03-18 15:07:53","2"
"2017-03-18 23:20:01","1"
"2017-03-19 00:01:17","1"
"2017-03-19 06:33:14","2"
"2017-03-19 09:22:03","8"
"2017-03-19 15:00:06","8"
"2017-03-19 18:01:44","3"
"2017-03-19 21:28:21","3"
"2017-03-20 00:01:21","3"
"2017-03-20 11:15:08","1"
"2017-03-20 12:04:57","16"
"2017-03-20 15:23:49","1"
"2017-03-20 18:19:35","14"
"2017-03-20 22:16:03","3"
"2017-03-21 00:01:19","1"
"2017-03-21 10:41:47","6"
"2017-03-21 12:18:40","7"
"2017-03-21 15:39:19","1"
"2017-03-21 18:13:42","3"
"2017-03-22 00:01:21","1"
"2017-03-22 10:07:45","12"
"2017-03-22 15:10:00","12"
"2017-03-22 18:05:08","2"
"2017-03-23 00:01:22","1"
"2017-03-23 03:49:03","2"
"2017-03-23 07:20:29","4"
"2017-03-23 09:15:00","9"
"2017-03-23 12:12:57","13"
"2017-03-23 15:14:02","4"
"2017-03-23 18:17:57","10"
"2017-03-23 21:07:55","4"
"2017-03-24 00:02:13","3"
"2017-03-24 03:34:28","3"
"2017-03-24 06:02:26","4"
"2017-03-24 10:38:45","1"
"2017-03-24 12:28:21","1"
"2017-03-24 17:11:45","2"
"2017-03-24 19:49:52","1"
"2017-03-25 00:01:24","4"
"2017-03-25 05:49:10","1"
"2017-03-25 07:37:47","5"
"2017-03-25 09:27:28","12"
"2017-03-25 12:42:49","6"
"2017-03-25 15:37:23","9"
"2017-03-25 20:30:11","1"
"2017-03-26 00:01:21","2"
"2017-03-26 05:30:30","1"
"2017-03-26 07:56:16","11"
"2017-03-26 09:21:50","9"
"2017-03-26 13:12:11","9"
"2017-03-26 17:02:49","3"
"2017-03-26 18:20:12","9"
"2017-03-27 00:01:26","2"
"2017-03-27 04:12:39","2"
"2017-03-27 07:36:43","14"
"2017-03-27 09:23:06","7"
"2017-03-27 14:58:52","9"
"2017-03-27 17:47:59","3"
"2017-03-27 18:22:59","16"
"2017-03-27 21:01:31","3"
"2017-03-28 00:00:12","5"
"2017-03-28 06:36:50","18"
"2017-03-28 10:22:48","18"
"2017-03-28 15:22:28","17"
"2017-03-28 18:32:46","9"
"2017-03-28 21:55:34","5"
"2017-03-29 00:01:26","5"
"2017-03-29 04:35:39","3"
"2017-03-29 07:33:03","15"
"2017-03-29 10:00:05","3"
"2017-03-29 12:34:54","16"
"2017-03-29 16:01:41","2"
"2017-03-29 18:00:09","11"
"2017-03-29 22:00:07","3"
"2017-03-30 00:01:46","4"
"2017-03-30 08:23:03","11"
"2017-03-30 09:14:26","8"
"2017-03-30 13:29:59","15"
"2017-03-30 15:03:52","14"
"2017-03-30 18:23:29","13"
"2017-03-30 21:08:51","6"
"2017-03-31 00:01:25","4"
"2017-03-31 06:05:07","8"
"2017-03-31 11:02:00","1"
"2017-03-31 12:30:38","9"
"2017-03-31 15:34:04","2"
"2017-03-31 18:03:23","7"
"2017-03-31 23:54:46","3"
